,image,Company,Model,RAM,ROM,Expandable,Display_cm,Front_Camera_MP,Rear_Camera_MP,Battery_mAh,Processor,Warranty,Rating,Number_of_ratings,Reviews,Price_rs
0,0.0,POCO,"POCO C71 (Desert Gold, 128 GB)",6.0,128.0,2.0,17.48,8.0,32.0,5200.0,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,31553.0,1480.0,7999.0
1,0.0,MOTOROLA,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.0,128.0,1.0,17.07,16.0,50.0,5000.0,T760 Processor,1 Year on Handset and 6 Months on Accessories,4.2,119625.0,7367.0,10999.0
2,0.0,POCO,"POCO C71 (Cool Blue, 128 GB)",6.0,128.0,2.0,17.48,8.0,32.0,5200.0,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,31553.0,1480.0,7999.0
3,0.0,POCO,"POCO C75 5G (Aqua Bliss, 64 GB)",4.0,64.0,1.0,17.48,5.0,50.0,5160.0,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,146764.0,6463.0,8299.0
4,0.0,realme,"realme C71 (Sea Blue, 128 GB)",6.0,128.0,2.0,17.14,5.0,13.0,6300.0,T7250 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,8234.0,315.0,9699.0
5,0.0,POCO,"POCO C71 (Power Black, 128 GB)",6.0,128.0,2.0,17.48,8.0,32.0,5200.0,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,31553.0,1480.0,7999.0
6,0.0,POCO,"POCO C75 5G (Aqua Bliss, 128 GB)",4.0,128.0,1.0,17.48,5.0,50.0,5160.0,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,146764.0,6463.0,9299.0
7,0.0,REDMI,"REDMI A5 (Jaisalmer Gold, 128 GB)",4.0,128.0,2.0,17.48,8.0,32.0,5200.0,T7250 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,4537.0,228.0,7999.0
8,0.0,POCO,"POCO C75 5G (Enchanted Green, 128 GB)",4.0,128.0,1.0,17.48,5.0,50.0,5160.0,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,146764.0,6463.0,9299.0
9,0.0,POCO,"POCO C75 5G (Silver Stardust, 128 GB)",4.0,128.0,1.0,17.48,5.0,50.0,5160.0,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,146764.0,6463.0,9299.0
10,0.0,realme,"realme C71 (Obsidian Black, 64 GB)",4.0,64.0,2.0,17.14,5.0,13.0,6300.0,T7250 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,772.0,30.0,7924.0
11,0.0,REDMI,"REDMI A4 (Starry Black, 64 GB)",4.0,64.0,_,17.48,_,50,5160.0,_,1 Year,4.3,13706.0,577.0,9193.0
12,0.0,REDMI,"REDMI A4 (Starry Black, 128 GB)",4.0,128.0,_,17.48,_,50,5160.0,_,1 Year,4.3,13706.0,577.0,9354.0
13,0.0,realme,"realme C71 (Sea Blue, 64 GB)",4.0,64.0,2,17.14,5,13,6300.0,T7250 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,772.0,30.0,7966.0
14,0.0,REDMI,"REDMI A4 (Sparkle Purple, 128 GB)",4.0,128.0,_,17.48,_,50,5160.0,_,1 Year,4.3,13706.0,577.0,9729.0
